listing_id,date
48154,2010-10-12
48154,2010-11-28
48154,2011-03-01
48154,2011-03-08
48154,2011-04-05
48154,2011-04-23
48154,2011-06-13
48154,2011-09-03
48154,2011-09-15
48154,2011-09-29
48154,2011-10-11
48154,2013-04-01
48154,2013-04-30
48154,2013-05-06
48154,2013-05-20
48154,2013-06-11
48154,2013-07-16
48154,2014-01-06
48154,2014-02-10
48154,2014-05-08
48154,2014-07-16
48154,2014-07-22
48154,2014-07-31
48154,2014-08-11
48154,2014-08-30
48154,2014-09-14
48154,2014-09-17
48154,2014-09-25
48154,2014-09-30
48154,2014-12-13
48154,2015-07-18
48154,2015-08-16
48154,2016-02-27
48154,2016-02-29
48154,2016-03-08
48154,2016-03-22
48154,2016-03-31
48154,2016-04-04
48154,2017-07-11
48154,2017-08-09
48154,2017-08-18
48154,2017-09-05
48154,2017-09-16
48154,2017-09-25
48154,2017-10-04
48154,2017-11-19
48154,2017-11-22
48154,2017-12-07
48154,2018-01-04
48154,2018-02-18
48154,2018-03-20
48154,2018-04-18
48154,2018-05-01
48154,2018-05-12
48154,2018-05-26
48154,2018-05-29
48154,2018-06-04
48154,2018-06-08
48154,2018-06-21
48154,2018-06-26
48154,2018-07-09
48154,2018-07-15
48154,2018-07-26
48154,2018-08-13
48154,2018-08-24
48154,2018-09-11
48154,2018-10-18
48154,2018-10-29
48154,2018-11-05
48154,2018-11-21
48154,2018-12-06
48154,2019-04-08
48154,2019-04-18
48154,2019-04-21
48154,2019-04-25
48154,2019-05-06
48154,2019-05-12
48154,2019-05-18
48154,2019-05-25
48154,2019-06-01
48154,2019-06-04
48154,2019-06-09
48154,2019-07-03
48154,2019-07-21
48154,2019-07-26
48154,2019-08-03
48154,2019-08-09
48154,2019-08-24
48154,2019-08-29
48154,2019-09-12
48154,2019-09-16
48154,2019-09-21
48154,2019-09-29
48154,2019-10-12
48154,2019-10-15
48154,2019-12-03
48154,2020-01-10
48154,2020-02-08
48154,2020-07-31
48154,2021-06-21
