id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2020919,RJ...Malvarrosa Beach Private garden,6167570,1462699633919130032,Isabel Y Mario,POBLATS MARITIMS,LA MALVA-ROSA,39.47936,-0.32509,Private room,74.0,1,96,2025-09-02,0.66,4,198,2,
2053439,apartment Valencia Center,10172001,1462833428026951154,Jose,CIUTAT VELLA,LA XEREA,39.47625,-0.37203,Entire home/apt,179.0,3,303,2026-06-19,2.22,1,281,31,Spain - National registration number<br />ESFCTU0000460570008730440000000000000CV-VUT0045017-V9<br /><br />Valencia - Regional registration number<br />VUT-0045017-V
2353221,Habitación centro doble con terraza  valencia,2423092,1462594692385123597,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37183,Private room,57.0,3,157,2026-06-20,1.05,2,298,40,Spain - National registration number<br />ESHFNT00004605900038199400100000000000000000000000005
2360229,DOUBLE ROOM+WIFI+TERRACE,7463142,1462732605373597203,Silvia,L'OLIVERETA,NOU MOLES,39.47135,-0.40503,Private room,38.0,28,60,2025-10-18,0.4,1,176,1,
2364778,Lovely flat in ideal location Wifi,3454879,1462629874202971795,Vivien,L'EIXAMPLE,LA GRAN VIA,39.46807,-0.36511,Entire home/apt,162.0,3,331,2026-06-06,2.21,1,14,34,Valencia - Regional registration number<br />VT-37238-V<br /><br />Spain - National registration number<br />ESFCTU00004605900044235000000000000000000000VT37238V1
2445550,Centric apartament with terrace,6068973,1462543688322913580,Carlos,CIUTAT VELLA,SANT FRANCESC,39.47161,-0.37684,Entire home/apt,1146.0,4,221,2025-09-02,1.48,1,88,1,Valencia - Regional registration number<br />VT-37898-V<br /><br />Spain - National registration number<br />ESFCTU000046025000285020000000000000000000VT-37898-V9
2459637,Habitación céntrica con terraza Valencia-Ruzafa,2423092,1462594692385123597,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37286,Private room,57.0,3,195,2026-06-22,1.3,2,309,43,Spain - National registration number<br />ESHFNT00004605900038199400200000000000000000000000004
2486462,APARTMENT IN HISTORIC CENTRE,12723722,1462894179874987629,Cristina,CIUTAT VELLA,LA SEU,39.47636,-0.37638,Entire home/apt,128.0,2,292,2026-06-11,1.95,1,175,37,Spain - National registration number<br />ESFCTU000046057000830191000000000000000000VT-44804-V0<br /><br />Valencia - Regional registration number<br />VT-44804-V
2488639,FERIA VALENCIA+wifi+garaje PGVT-1718-V,12737363,1462894487448817345,Toni,POBLATS DE L'OEST,BENIMAMET,39.50489,-0.42584,Entire home/apt,149.0,1,142,2026-06-04,0.95,1,31,21,Valencia - Regional registration number<br />VT-38150-V<br /><br />Spain - National registration number<br />ESFCTU000046045000142260000000000000000000VT-38150-V7
2533554,Habitación en el Cabañal,12976069,1462584558002651919,Eva,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46385,-0.33058,Private room,,11,354,2026-06-05,2.39,1,25,31,
2534892,Piso romantico Playa Cabanyal wifi,6383590,1462705063455857163,Sony,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46477,-0.33255,Entire home/apt,,31,264,2024-11-01,1.76,1,0,0,
2535466,Apartamento  centro Valencia,9933766,1462827408287205108,Gabriela,EXTRAMURS,LA ROQUETA,39.4682,-0.38089,Entire home/apt,189.0,1,39,2024-10-08,0.27,1,116,0,Valencia - Regional registration number<br />VT-40125-V<br /><br />Spain - National registration number<br />ESFCTU0000460630001518150000000000000CV-VUT0040125-V8
