id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,211991268,1463187341610191063,ValenciaGUEST,CIUTAT VELLA,EL MERCAT,39.47258,-0.37805,Entire home/apt,190.0,2,287,2026-05-21,1.68,77,326,8,Spain - National registration number<br />ESFCTU000046025000255191000000000000000000VT-37319-V5<br /><br />Valencia - Regional registration number<br />VT-37319-V
467151,Cute Apartment Studio Wifi + pool + pádel + sauna,2319737,1462591921669249919,Javier,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,116.0,10,106,2026-06-13,0.63,1,209,13,Spain - National registration number<br />ESFCNT00004605300088036500000000000000000000000000007<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
472858,Habitación individual bonita y luminosa. Valencia,2345188,1462592604117273875,Joana,ALGIROS,LA CARRASCA,39.47574,-0.34483,Private room,48.0,10,73,2026-06-01,0.55,2,237,19,Spain - National registration number<br />ESHFNT00004605400018607500100000000000000000000000003<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
476415,Sun Arts Apartment @ Balcony & private Parking,2361433,1462523756770033213,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,223.0,2,46,2026-05-31,0.41,2,112,5,Valencia - Regional registration number<br />VT-40428-V<br /><br />Spain - National registration number<br />ESFCTU000046061000911668000000000000000000VT-40428-V6
478752,ArtApartment VT39935V. Ready to Live/Pool/Garden,2370939,1462593298676639819,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,342.0,4,263,2026-06-11,1.54,1,282,16,Spain - National registration number<br />ESFCTU000046053000780238000000000000000000VT-39935-V1<br /><br />Valencia - Regional registration number<br />VT-39935-V
509829,room Valencia center/port,2411133,1462524042025438693,Ferran,CAMINS AL GRAU,CAMI FONDO,39.46548,-0.35487,Private room,149.0,1,1,2023-06-04,0.03,2,360,0,
524523,"Best Location: Mestalla, Single Bed, Free Coffee",140702,1462509985895629414,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47639,-0.36467,Private room,,2,478,2026-06-04,2.83,3,38,57,
556620,Cozy room in the center,2736688,1462525988964005357,Begoña,LA SAIDIA,TRINITAT,39.48482805490139,-0.3685763429131575,Private room,47.0,10,218,2026-06-13,1.48,2,47,19,Spain - National registration number<br />ESHFNT00004605000028167300100000000000000000000000009<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
579273,Mercat Central Apartment,2849128,1462610605954987952,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,92.0,2,541,2026-06-05,3.47,1,229,66,Valencia - Regional registration number<br />VT-46067-V<br /><br />Spain - National registration number<br />ESFCTU000046025000194940000000000000000000VT-46067-V7
595233,Valencia desing loft lake view. Bikes free parking,2940808,1462527161055444156,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,191.0,1,504,2026-06-14,3.12,1,207,49,Spain - National registration number<br />ESFCTU000046060000668343000000000000000000VT-44610-V9<br /><br />Valencia - Regional registration number<br />VT-44610-V
