listing_id,date
39840290,2019-11-12
39840290,2019-11-20
39840290,2019-12-03
39840290,2019-12-08
39840290,2020-01-11
39840290,2020-01-26
39840290,2020-02-09
39840290,2020-02-17
39840290,2020-02-24
39840290,2020-03-01
39840290,2020-03-07
39840290,2020-03-20
39840290,2020-07-01
39840290,2020-07-18
39840290,2020-08-31
39840290,2020-09-21
39840290,2020-10-05
39840290,2020-10-28
39840290,2021-07-04
39840290,2021-07-07
39840290,2021-07-15
39840290,2021-07-26
39840290,2021-08-09
39840290,2021-08-14
39840290,2021-08-25
39840290,2021-09-02
39840290,2021-09-06
39840290,2021-09-10
39840290,2021-09-13
39840290,2021-09-17
39840290,2021-09-24
39840290,2021-10-14
39840290,2021-10-19
39840290,2021-10-24
39840290,2021-10-31
39840290,2021-11-05
39840290,2021-11-14
39840290,2021-11-19
39840290,2021-11-29
39840290,2022-01-11
39840290,2022-02-19
39840290,2022-03-14
39840290,2022-03-23
39840290,2022-04-22
39840290,2022-05-06
39840290,2022-05-13
39840290,2022-05-17
39840290,2022-05-24
39840290,2022-06-08
39840290,2022-06-12
39840290,2022-06-19
39840290,2022-06-26
39840290,2022-07-02
39840290,2022-07-11
39840290,2022-07-25
39840290,2022-08-12
39840290,2022-08-16
39840290,2022-08-29
39840290,2022-09-17
39840290,2022-10-03
39840290,2022-10-11
39840290,2022-12-15
39840290,2023-01-31
39840290,2023-03-02
39840290,2023-03-06
39840290,2023-03-19
39840290,2023-04-09
39840290,2023-04-26
39840290,2023-04-30
39840290,2023-05-08
39840290,2023-05-14
39840290,2023-05-23
39840290,2023-05-31
39840290,2023-06-04
39840290,2023-06-08
39840290,2023-06-20
39840290,2023-06-25
39840290,2023-07-17
39840290,2023-07-25
39840290,2023-08-10
39840290,2023-08-23
39840290,2023-09-05
39840290,2023-09-16
39840290,2023-09-24
39840290,2023-09-30
39840290,2023-10-04
39840290,2023-10-18
39840290,2023-10-22
39840290,2023-11-11
39840290,2023-12-09
48154,2010-10-12
48154,2010-11-28
48154,2011-03-01
48154,2011-03-08
48154,2011-04-05
48154,2011-04-23
48154,2011-06-13
48154,2011-09-03
48154,2011-09-15
48154,2011-09-29
